volume,vw,open,close,high,low,timestamp,n
8160889.0,460.2676,460.54,460.13,460.64,460.05,2023-12-08 20:45:00,50622
6459214.0,459.7828,460.13,460.01,460.22,459.8,2023-12-08 21:00:00,3662
3992061.0,459.8741,459.69,460.055,460.33,459.47,2023-12-11 14:30:00,39872
2646846.0,460.1043,460.065,460.405,460.42,459.63,2023-12-11 14:45:00,25341
2079739.0,460.3404,460.4,460.4766,460.55,459.95,2023-12-11 15:00:00,32063
1948001.0,460.343,460.48,460.2,460.58,460.14,2023-12-11 15:15:00,18766
2354066.0,460.355,460.205,460.4081,460.7,460.09,2023-12-11 15:30:00,17340
2471312.0,460.9411,460.41,460.79,461.16,460.385,2023-12-11 15:45:00,21320
2276360.0,460.6515,460.795,460.1599,461.23,460.15,2023-12-11 16:00:00,19777
2524654.0,460.295,460.155,460.48,460.61,460.04,2023-12-11 16:15:00,17578
2418512.0,460.2723,460.49,460.29,460.57,459.905,2023-12-11 16:30:00,17938
1681068.0,460.3312,460.3,460.53,460.57,460.19,2023-12-11 16:45:00,11734
1243076.0,460.6084,460.53,460.61,460.81,460.3034,2023-12-11 17:00:00,12688
974726.0,460.5877,460.6,460.68,460.73,460.41,2023-12-11 17:15:00,10171
1204328.0,460.6401,460.7,460.8171,460.8969,460.58,2023-12-11 17:30:00,10243
2289159.0,460.6497,460.81,460.9603,461.02,460.78,2023-12-11 17:45:00,10290
1801536.0,461.0927,460.965,461.0913,461.3399,460.655,2023-12-11 18:00:00,16535
1875699.0,461.1047,461.1,461.465,461.6,461.1,2023-12-11 18:15:00,11972
939171.0,461.5245,461.47,461.55,461.645,461.415,2023-12-11 18:30:00,10315
1244677.0,461.6336,461.55,461.6408,461.7487,461.45,2023-12-11 18:45:00,11588
1012949.0,461.6804,461.64,461.74,461.85,461.54,2023-12-11 19:00:00,10274
1892391.0,461.0432,461.74,461.73,461.765,461.46,2023-12-11 19:15:00,11064
2005677.0,461.428,461.745,461.515,461.83,461.485,2023-12-11 19:30:00,11495
1138218.0,461.5484,461.52,461.54,461.6965,461.44,2023-12-11 19:45:00,9762
1657993.0,461.5217,461.545,461.64,461.72,461.3396,2023-12-11 20:00:00,14461
2363998.0,461.649,461.6458,461.48,461.825,461.43,2023-12-11 20:15:00,15144
2450371.0,461.4771,461.48,461.66,461.86,461.4,2023-12-11 20:30:00,17573
8016672.0,461.6965,461.66,461.97,462.17,461.55,2023-12-11 20:45:00,42408
3609752.0,461.5623,461.96,461.92,462.07,461.4146,2023-12-11 21:00:00,3386
3411165.0,461.0088,461.63,460.735,461.7,460.6,2023-12-12 14:30:00,31100
2426625.0,461.2203,460.73,461.495,461.55,460.7,2023-12-12 14:45:00,25913
2385841.0,461.7945,461.5,461.89,462.1,461.315,2023-12-12 15:00:00,27165
1961645.0,462.1113,461.88,462.03,462.37,461.86,2023-12-12 15:15:00,15520
2453958.0,462.1485,462.03,462.311,462.47,461.94,2023-12-12 15:30:00,15912
2211194.0,462.2775,462.31,462.66,462.6866,462.03,2023-12-12 15:45:00,15280
1874362.0,462.6326,462.66,462.535,462.835,462.385,2023-12-12 16:00:00,15397
3222810.0,462.5481,462.53,462.5,462.79,462.39,2023-12-12 16:15:00,11707
1216665.0,462.5949,462.51,462.55,462.73,462.44,2023-12-12 16:30:00,11697
1976710.0,462.4108,462.55,462.59,462.82,462.47,2023-12-12 16:45:00,11427
2036778.0,462.3258,462.59,462.62,462.675,462.24,2023-12-12 17:00:00,10316
1667612.0,462.7601,462.61,462.83,462.89,462.592,2023-12-12 17:15:00,11989
1720952.0,462.9378,462.8328,462.83,463.12,462.82,2023-12-12 17:30:00,13590
1430408.0,462.5455,462.84,462.62,462.93,462.5,2023-12-12 17:45:00,9888
1424972.0,462.8749,462.62,462.875,463.0681,462.51,2023-12-12 18:00:00,12591
821408.0,462.8747,462.87,462.88,463.03,462.701,2023-12-12 18:15:00,8760
831123.0,462.9596,462.88,463.0,463.08,462.8101,2023-12-12 18:30:00,9227
1955329.0,463.0303,462.995,463.21,463.28,462.99,2023-12-12 18:45:00,11895
1149267.0,463.1357,463.21,463.1,463.2367,463.04,2023-12-12 19:00:00,9813
1205132.0,462.9698,463.095,463.25,463.29,463.055,2023-12-12 19:15:00,9802
958261.0,463.3542,463.26,463.38,463.42,463.2502,2023-12-12 19:30:00,9456
1701251.0,463.2836,463.375,463.565,463.61,463.345,2023-12-12 19:45:00,13105
2895831.0,463.5633,463.57,463.95,464.08,463.51,2023-12-12 20:00:00,20423
2363971.0,463.601,463.955,464.09,464.12,463.9,2023-12-12 20:15:00,15755
2242909.0,463.8648,464.0901,463.8,464.14,463.65,2023-12-12 20:30:00,19460
8464286.0,463.6798,463.795,464.16,464.2,463.59,2023-12-12 20:45:00,50337
6322780.0,464.0539,464.16,464.39,464.41,462.7076,2023-12-12 21:00:00,2781
2836369.0,464.5813,464.49,464.465,464.855,464.3,2023-12-13 14:30:00,25851
1422039.0,464.4349,464.46,464.475,464.56,464.33,2023-12-13 14:45:00,16450
1544765.0,464.5261,464.475,464.64,464.77,464.24,2023-12-13 15:00:00,23408
1591328.0,464.7877,464.64,464.83,464.91,464.63,2023-12-13 15:15:00,15004
1367115.0,464.9479,464.83,465.1083,465.115,464.2591,2023-12-13 15:30:00,14467
1315350.0,465.1816,465.1,465.15,465.31,465.07,2023-12-13 15:45:00,12361
1403625.0,465.081,465.145,465.015,465.335,464.9085,2023-12-13 16:00:00,12023
1213726.0,464.9963,465.015,464.885,465.15,464.85,2023-12-13 16:15:00,10750
957080.0,464.9026,464.89,464.82,465.05,464.74,2023-12-13 16:30:00,9507
1162392.0,464.6558,464.8204,464.64,464.91,464.61,2023-12-13 16:45:00,8334
1215121.0,464.4805,464.65,464.64,464.705,464.44,2023-12-13 17:00:00,9262
775540.0,464.5717,464.645,464.53,464.67,464.485,2023-12-13 17:15:00,7741
1320357.0,464.406,464.525,464.4622,464.62,464.34,2023-12-13 17:30:00,10924
1071662.0,464.5152,464.46,464.48,464.615,464.43,2023-12-13 17:45:00,9135
1275708.0,464.2613,464.495,464.2709,464.51,464.14,2023-12-13 18:00:00,10892
1598907.0,464.1955,464.28,464.18,464.33,464.12,2023-12-13 18:15:00,9454
1079312.0,464.2297,464.18,464.275,464.33,464.125,2023-12-13 18:30:00,10790
2167812.0,464.4751,464.275,464.42,464.69,464.27,2023-12-13 18:45:00,13015
10219822.0,466.1528,464.37,467.09,467.19,464.37,2023-12-13 19:00:00,73414
4163687.0,467.436,467.08,467.4501,467.84,467.07,2023-12-13 19:15:00,31542
5961370.0,468.5219,467.45,469.2,469.4,467.05,2023-12-13 19:30:00,49327
5879173.0,469.5171,469.2,469.78,470.1,468.93,2023-12-13 19:45:00,47862
6794431.0,469.9169,469.785,469.505,470.7599,469.46,2023-12-13 20:00:00,53606
5674517.0,468.7563,469.51,468.865,469.755,468.13,2023-12-13 20:15:00,47811
5788001.0,468.4973,468.86,469.835,469.92,468.48,2023-12-13 20:30:00,40362
11262099.0,469.4953,469.83,470.44,470.54,469.14,2023-12-13 20:45:00,69805
4970908.0,469.1677,470.44,470.64,470.7,465.0062,2023-12-13 21:00:00,4204
7307516.0,472.4453,472.5,473.36,473.44,472.255,2023-12-14 14:30:00,50003
3930080.0,473.1667,473.365,473.14,473.73,472.58,2023-12-14 14:45:00,39609
