volume,vw,open,close,high,low,t,n,timestamp
4855.0,614.2369,614.3,614.2,614.3,614.2,1751060280000,58,2025-06-27 17:38:00-04:00
4044.0,614.2484,614.24,614.2484,614.2484,614.24,1751060520000,11,2025-06-27 17:42:00-04:00
249.0,614.2258,614.2,614.2,614.2,614.2,1751060640000,12,2025-06-27 17:44:00-04:00
1349.0,614.2435,614.2403,614.2403,614.2403,614.2403,1751060760000,13,2025-06-27 17:46:00-04:00
3088.0,614.2287,614.26,614.2,614.26,614.2,1751061000000,23,2025-06-27 17:50:00-04:00
14878.0,614.1716,614.19,614.12,614.25,614.12,1751061120000,75,2025-06-27 17:52:00-04:00
318.0,614.1758,614.1601,614.1601,614.1601,614.1601,1751061360000,7,2025-06-27 17:56:00-04:00
401.0,614.2425,614.24,614.24,614.25,614.24,1751061480000,3,2025-06-27 17:58:00-04:00
402.0,614.2318,614.23,614.23,614.23,614.23,1751061600000,12,2025-06-27 18:00:00-04:00
1297.0,614.2438,614.22,614.25,614.25,614.22,1751061720000,18,2025-06-27 18:02:00-04:00
766.0,614.2441,614.24,614.2496,614.2496,614.23,1751061840000,14,2025-06-27 18:04:00-04:00
1196.0,614.2375,614.24,614.25,614.25,614.24,1751061960000,31,2025-06-27 18:06:00-04:00
345.0,614.3714,614.3928,614.3928,614.3928,614.3928,1751062200000,12,2025-06-27 18:10:00-04:00
171.0,614.3858,614.3882,614.3882,614.3882,614.3882,1751062320000,9,2025-06-27 18:12:00-04:00
2309.0,614.2639,614.29,614.19,614.29,614.19,1751062440000,38,2025-06-27 18:14:00-04:00
3329.0,614.1714,614.19,614.16,614.2,614.16,1751062560000,29,2025-06-27 18:16:00-04:00
403.0,614.2553,614.24,614.24,614.24,614.24,1751062680000,12,2025-06-27 18:18:00-04:00
2792.0,614.2064,614.21,614.2,614.34,614.15,1751062920000,48,2025-06-27 18:22:00-04:00
2647.0,614.1631,614.19,614.14,614.2,614.14,1751063040000,45,2025-06-27 18:24:00-04:00
3369.0,614.1561,614.13,614.15,614.19,614.13,1751063160000,43,2025-06-27 18:26:00-04:00
5011.0,614.1162,614.15,614.1,614.15,614.1,1751063280000,49,2025-06-27 18:28:00-04:00
25393.0,613.9978,614.1,614.0,614.1,613.96,1751063400000,120,2025-06-27 18:30:00-04:00
4468.0,613.9257,613.94,613.9,613.97,613.8901,1751063520000,60,2025-06-27 18:32:00-04:00
21550.0,613.8624,613.9,613.81,613.9,613.81,1751063640000,118,2025-06-27 18:34:00-04:00
5227.0,613.6496,613.79,613.66,613.79,613.6,1751063760000,91,2025-06-27 18:36:00-04:00
5085.0,613.6153,613.66,613.5101,613.66,613.5101,1751063880000,48,2025-06-27 18:38:00-04:00
5480.0,613.5754,613.59,613.58,613.59,613.5699,1751064000000,53,2025-06-27 18:40:00-04:00
14603.0,613.4961,613.59,613.48,613.59,613.47,1751064120000,133,2025-06-27 18:42:00-04:00
5789.0,613.3988,613.48,613.35,613.48,613.31,1751064240000,93,2025-06-27 18:44:00-04:00
8113.0,613.3405,613.35,613.47,613.48,613.29,1751064360000,73,2025-06-27 18:46:00-04:00
16110.0,613.4796,613.47,613.48,613.48,613.47,1751064480000,133,2025-06-27 18:48:00-04:00
15198.0,613.4759,613.49,613.48,613.49,613.4325,1751064600000,115,2025-06-27 18:50:00-04:00
1814.0,613.4795,613.48,613.4799,613.48,613.4799,1751064720000,25,2025-06-27 18:52:00-04:00
10955.0,613.3877,613.47,613.35,613.47,613.34,1751064840000,94,2025-06-27 18:54:00-04:00
12954.0,613.2347,613.25,613.2,613.25,613.2,1751064960000,134,2025-06-27 18:56:00-04:00
6874.0,613.1974,613.1978,613.2,613.2,613.18,1751065080000,108,2025-06-27 18:58:00-04:00
16850.0,613.1827,613.2,613.16,613.23,613.1501,1751065200000,149,2025-06-27 19:00:00-04:00
17872.0,613.0506,613.15,613.0,613.15,612.86,1751065320000,226,2025-06-27 19:02:00-04:00
2285.0,612.9738,613.0,613.01,613.01,612.92,1751065440000,28,2025-06-27 19:04:00-04:00
983.0,613.1279,613.175,613.14,613.175,613.02,1751065560000,43,2025-06-27 19:06:00-04:00
592.0,613.0865,613.07,613.07,613.07,613.07,1751065680000,8,2025-06-27 19:08:00-04:00
1614.0,613.133,613.14,613.12,613.14,613.12,1751065800000,35,2025-06-27 19:10:00-04:00
2525.0,613.1987,613.17,613.2,613.22,613.17,1751065920000,45,2025-06-27 19:12:00-04:00
1839.0,613.2051,613.19,613.16,613.2351,613.16,1751066040000,46,2025-06-27 19:14:00-04:00
2431.0,613.273,613.23,613.26,613.3299,613.23,1751066160000,38,2025-06-27 19:16:00-04:00
3327.0,613.2349,613.27,613.2,613.28,613.2,1751066280000,49,2025-06-27 19:18:00-04:00
1747.0,613.2023,613.18,613.24,613.25,613.18,1751066400000,29,2025-06-27 19:20:00-04:00
1115.0,613.2579,613.26,613.25,613.2614,613.25,1751066520000,26,2025-06-27 19:22:00-04:00
1048.0,613.2786,613.27,613.27,613.3,613.26,1751066640000,35,2025-06-27 19:24:00-04:00
2560.0,613.3589,613.2601,613.44,613.45,613.2601,1751066760000,46,2025-06-27 19:26:00-04:00
9245.0,613.3958,613.44,613.33,613.5491,613.33,1751066880000,137,2025-06-27 19:28:00-04:00
2060.0,613.4166,613.27,613.44,613.4999,613.27,1751067000000,34,2025-06-27 19:30:00-04:00
463.0,613.4278,613.4462,613.39,613.4462,613.39,1751067120000,17,2025-06-27 19:32:00-04:00
5484.0,613.3912,613.3701,613.44,613.4817,613.3701,1751067240000,29,2025-06-27 19:34:00-04:00
2530.0,613.3905,613.4315,613.3,613.4875,613.28,1751067360000,48,2025-06-27 19:36:00-04:00
1625.0,613.2358,613.27,613.35,613.35,613.18,1751067480000,15,2025-06-27 19:38:00-04:00
260.0,613.3419,613.34,613.34,613.34,613.34,1751067600000,6,2025-06-27 19:40:00-04:00
1625.0,613.3698,613.3798,613.3533,613.38,613.35,1751067720000,22,2025-06-27 19:42:00-04:00
3477.0,613.4205,613.4,613.489,613.489,613.3999,1751067840000,35,2025-06-27 19:44:00-04:00
5926.0,613.4813,613.4847,613.48,613.5,613.46,1751067960000,61,2025-06-27 19:46:00-04:00
1436.0,613.5704,613.5798,613.58,613.58,613.5125,1751068080000,40,2025-06-27 19:48:00-04:00
1291.0,613.5882,613.5417,613.62,613.62,613.5417,1751068200000,32,2025-06-27 19:50:00-04:00
851.0,613.6322,613.64,613.63,613.64,613.63,1751068320000,27,2025-06-27 19:52:00-04:00
2815.0,613.5891,613.63,613.56,613.63,613.5,1751068440000,42,2025-06-27 19:54:00-04:00
3577.0,613.4222,613.56,613.29,613.56,613.29,1751068560000,91,2025-06-27 19:56:00-04:00
9410.0,613.3503,613.3207,613.43,613.45,613.3207,1751068680000,61,2025-06-27 19:58:00-04:00
