volume,vw,open,close,high,low,timestamp,n,timestamp.1,EMA_13,EMA_48,EMA_200
868.0,507.3414,507.34,507.32,507.34,507.32,1709685120000,30.0,2024-03-05 19:32:00-05:00,507.2854765709148,507.387879035245,507.4662756306848
676.0,507.3471,507.38,507.34,507.38,507.34,1709685240000,19.0,2024-03-05 19:34:00-05:00,507.2932656322127,507.3859247889085,507.4650191567477
1671.0,507.2297,507.25,507.2,507.25,507.2,1709685600000,47.0,2024-03-05 19:40:00-05:00,507.279941970468,507.3783360220143,507.4623821502129
2000.0,507.2139,507.22,507.2,507.25,507.2,1709685720000,29.0,2024-03-05 19:42:00-05:00,507.2685216889726,507.37105700070754,507.4597713825491
4937.0,507.192,507.19,507.17,507.2,507.17,1709685960000,32.0,2024-03-05 19:46:00-05:00,507.2544471619766,507.3628505925154,507.4568880852103
12731.0,507.139,507.15,507.11,507.15,507.05,1709686080000,78.0,2024-03-05 19:48:00-05:00,507.2338118531228,507.35253016016776,507.4534364624719
24380.0,507.0593,507.08,507.02,507.08,506.98,1709686200000,104.0,2024-03-05 19:50:00-05:00,507.2032673026767,507.33895750056905,507.4491236618503
423.0,507.0249,507.03,507.03,507.03,507.03,1709686320000,16.0,2024-03-05 19:52:00-05:00,507.17851483086577,507.3263469903417,507.4449532771553
1310.0,507.0498,507.05,507.05,507.05,507.05,1709686440000,25.0,2024-03-05 19:54:00-05:00,507.1601555693136,507.31506752134817,507.4410233938006
2312.0,507.0258,507.05,507.02,507.05,507.02,1709686560000,36.0,2024-03-05 19:56:00-05:00,507.140133345126,507.3030239490482,507.4368341063001
18428.0,507.0112,507.02,506.97,507.07,506.97,1709686680000,61.0,2024-03-05 19:58:00-05:00,507.11582858153656,507.28943113480136,507.43218899081455
4556.0,508.6736,508.58,508.8,508.8,508.0,1709715600000,50.0,2024-03-06 04:00:00-05:00,507.3564244984599,507.3510870068503,507.4457990506075
1551.0,508.8646,508.81,508.94,508.94,508.8,1709715720000,37.0,2024-03-06 04:02:00-05:00,507.5826495701085,507.41594059840736,507.4606667217457
1342.0,508.9046,508.91,508.91,508.93,508.87,1709715840000,14.0,2024-03-06 04:04:00-05:00,507.772271060093,507.47692261479887,507.4750879483951
1918.0,508.9153,508.91,508.86,508.94,508.86,1709715960000,23.0,2024-03-06 04:06:00-05:00,507.9276609086512,507.5333747529703,507.488868167814
1201.0,508.89,508.89,508.89,508.89,508.89,1709716080000,4.0,2024-03-06 04:08:00-05:00,508.0651379217011,507.58874721203273,507.50280977808455
26198.0,508.8201,508.91,508.88,508.91,508.8,1709716200000,52.0,2024-03-06 04:10:00-05:00,508.18154679002953,507.64145140746,507.5165131633773
811.0,508.8759,508.88,508.87,508.88,508.87,1709716320000,8.0,2024-03-06 04:12:00-05:00,508.2798972485968,507.69159624797175,507.52998069409
1665.0,508.8875,508.9,508.94,508.94,508.85,1709716440000,18.0,2024-03-06 04:14:00-05:00,508.37419764165446,507.7425515031565,507.54401073693487
2184.0,509.135,509.0,509.21,509.21,509.0,1709716560000,31.0,2024-03-06 04:16:00-05:00,508.49359797856096,507.8024473601705,507.5605877445276
513.0,509.1788,509.18,509.18,509.18,509.18,1709716680000,7.0,2024-03-06 04:18:00-05:00,508.59165541019513,507.8586739985309,507.57670129930847
1533.0,509.0879,509.15,509.1,509.15,509.05,1709716800000,18.0,2024-03-06 04:20:00-05:00,508.6642760658816,507.9093403659378,507.5918585003104
279.0,509.0975,509.1,509.1,509.1,509.1,1709716920000,10.0,2024-03-06 04:22:00-05:00,508.7265223421842,507.9579387183485,507.60686488339184
1353.0,509.0652,509.08,509.07,509.08,509.07,1709717040000,17.0,2024-03-06 04:24:00-05:00,508.7755905790151,508.0033289747424,507.62142344176607
1171.0,509.025,508.99,509.07,509.07,508.96,1709717160000,13.0,2024-03-06 04:26:00-05:00,508.8176490677273,508.04686656761,507.6358371388629
858.0,509.0723,509.08,509.08,509.08,509.08,1709717280000,25.0,2024-03-06 04:28:00-05:00,508.85512777233765,508.08903527913606,507.65020691857575
426.0,509.0969,509.1,509.1,509.1,509.1,1709717400000,11.0,2024-03-06 04:30:00-05:00,508.89010951914656,508.13029914529375,507.66463272038095
1886.0,509.0723,509.07,509.07,509.08,509.07,1709717640000,30.0,2024-03-06 04:34:00-05:00,508.9158081592685,508.1686542822205,507.678616474407
232.0,509.1465,509.17,509.17,509.17,509.17,1709717760000,11.0,2024-03-06 04:36:00-05:00,508.95212127937305,508.2095255360074,507.6934561114776
1045.0,509.1349,509.16,509.13,509.16,509.13,1709717880000,26.0,2024-03-06 04:38:00-05:00,508.9775325251769,508.2470959222928,507.7077500805177
739.0,509.1935,509.2,509.2,509.2,509.19,1709718120000,11.0,2024-03-06 04:42:00-05:00,509.0093135930088,508.2859899662808,507.72259833842304
1254.0,509.0695,509.11,509.05,509.11,509.04,1709718240000,13.0,2024-03-06 04:44:00-05:00,509.0151259368648,508.31717404928975,507.7358063151552
706.0,508.8606,508.86,508.86,508.86,508.86,1709718480000,4.0,2024-03-06 04:48:00-05:00,508.9929650887413,508.3393302105432,507.7469923219696
196.0,509.0031,509.0,509.0,509.0,509.0,1709718840000,11.0,2024-03-06 04:54:00-05:00,508.993970076064,508.3662963243985,507.7594600600595
332.0,509.0104,508.97,508.97,508.97,508.97,1709718960000,18.0,2024-03-06 04:56:00-05:00,508.99054577948345,508.3909372907496,507.77150523359126
1132.0,509.039,509.01,509.1,509.1,509.01,1709719080000,20.0,2024-03-06 04:58:00-05:00,509.0061820967002,508.419878625821,507.7847240869884
330.0,509.1848,509.2,509.2,509.2,509.2,1709719200000,26.0,2024-03-06 05:00:00-05:00,509.03387036860016,508.451720314563,507.7988064343816
327.0,509.2373,509.24,509.24,509.24,509.24,1709719320000,10.0,2024-03-06 05:02:00-05:00,509.06331745880016,508.4838949956012,507.8131466688653
