volume,vw,open,close,high,low,timestamp,n,timestamp
1507.0,515.4787,515.48,515.48,515.48,515.48,1710886920000,19,2024-03-19 18:22:00-04:00
1482.0,515.4692,515.49,515.46,515.49,515.46,1710887040000,19,2024-03-19 18:24:00-04:00
1554.0,515.5159,515.5,515.54,515.54,515.5,1710887160000,24,2024-03-19 18:26:00-04:00
1155.0,515.555,515.55,515.59,515.59,515.55,1710887280000,25,2024-03-19 18:28:00-04:00
322.0,515.4585,515.46,515.46,515.46,515.46,1710887640000,22,2024-03-19 18:34:00-04:00
272.0,515.4587,515.4593,515.4593,515.4593,515.4593,1710887760000,11,2024-03-19 18:36:00-04:00
1235.0,515.4689,515.51,515.4609,515.51,515.4609,1710887880000,15,2024-03-19 18:38:00-04:00
181.0,515.4863,515.48,515.48,515.48,515.48,1710888480000,11,2024-03-19 18:48:00-04:00
493.0,515.5372,515.54,515.54,515.54,515.54,1710888840000,16,2024-03-19 18:54:00-04:00
214.0,515.5993,515.6,515.6,515.6,515.6,1710888960000,10,2024-03-19 18:56:00-04:00
446.0,515.5772,515.59,515.57,515.59,515.57,1710889080000,12,2024-03-19 18:58:00-04:00
417.0,515.5992,515.6,515.6,515.6,515.6,1710889200000,13,2024-03-19 19:00:00-04:00
1426.0,515.6021,515.62,515.56,515.62,515.56,1710889560000,11,2024-03-19 19:06:00-04:00
564.0,515.5697,515.57,515.57,515.57,515.57,1710889800000,15,2024-03-19 19:10:00-04:00
468.0,515.514,515.55,515.48,515.55,515.48,1710889920000,27,2024-03-19 19:12:00-04:00
239.0,515.5491,515.56,515.56,515.56,515.56,1710890280000,12,2024-03-19 19:18:00-04:00
267.0,515.5426,515.54,515.54,515.54,515.54,1710890520000,4,2024-03-19 19:22:00-04:00
1926.0,515.5933,515.57,515.59,515.63,515.57,1710890760000,30,2024-03-19 19:26:00-04:00
890.0,515.6172,515.59,515.63,515.63,515.59,1710890880000,19,2024-03-19 19:28:00-04:00
692.0,515.6289,515.63,515.63,515.63,515.63,1710891000000,15,2024-03-19 19:30:00-04:00
1737.0,515.5815,515.57,515.59,515.61,515.57,1710891360000,29,2024-03-19 19:36:00-04:00
202.0,515.5462,515.54,515.54,515.54,515.54,1710891600000,13,2024-03-19 19:40:00-04:00
142.0,515.5453,515.54,515.54,515.54,515.54,1710891960000,15,2024-03-19 19:46:00-04:00
581.0,515.5343,515.56,515.52,515.56,515.52,1710892440000,20,2024-03-19 19:54:00-04:00
322.0,515.5191,515.52,515.52,515.52,515.52,1710892560000,11,2024-03-19 19:56:00-04:00
2279.0,515.4697,515.49,515.45,515.49,515.45,1710892680000,47,2024-03-19 19:58:00-04:00
