volume,vw,open,close,high,low,timestamp,n,timestamp
199,524.9001,524.89,524.89,524.89,524.89,1717492440000,4,2024-06-04 05:14:00-04:00
1958,524.6154,524.6,524.64,524.64,524.6,1717492560000,15,2024-06-04 05:16:00-04:00
1607,524.6074,524.75,524.58,524.75,524.55,1717492800000,12,2024-06-04 05:20:00-04:00
1270,524.6025,524.61,524.5,524.67,524.5,1717492920000,13,2024-06-04 05:22:00-04:00
112,524.4629,524.46,524.46,524.46,524.46,1717493040000,4,2024-06-04 05:24:00-04:00
243,524.7893,524.79,524.79,524.79,524.79,1717493160000,4,2024-06-04 05:26:00-04:00
1379,524.6018,524.63,524.56,524.63,524.56,1717493280000,13,2024-06-04 05:28:00-04:00
101,524.889,524.89,524.89,524.89,524.89,1717493520000,2,2024-06-04 05:32:00-04:00
1827,524.7384,524.74,524.74,524.74,524.74,1717493640000,11,2024-06-04 05:34:00-04:00
529,524.7203,524.72,524.72,524.72,524.72,1717493760000,6,2024-06-04 05:36:00-04:00
237,524.8557,524.86,524.85,524.86,524.85,1717493880000,5,2024-06-04 05:38:00-04:00
988,525.0512,524.9,525.1,525.1,524.9,1717494000000,14,2024-06-04 05:40:00-04:00
1770,524.6687,524.83,524.56,524.83,524.56,1717494360000,17,2024-06-04 05:46:00-04:00
3082,524.64,524.61,524.7,524.7,524.54,1717494480000,20,2024-06-04 05:48:00-04:00
143,524.5906,524.6,524.6,524.6,524.6,1717494600000,5,2024-06-04 05:50:00-04:00
1120,524.4751,524.53,524.4,524.53,524.4,1717494720000,29,2024-06-04 05:52:00-04:00
623,524.5022,524.51,524.5,524.51,524.5,1717494840000,6,2024-06-04 05:54:00-04:00
657,524.7391,524.74,524.74,524.74,524.74,1717494960000,4,2024-06-04 05:56:00-04:00
506,524.7397,524.79,524.72,524.79,524.72,1717495080000,6,2024-06-04 05:58:00-04:00
1574,524.7548,524.76,524.75,524.78,524.73,1717495320000,10,2024-06-04 06:02:00-04:00
880,524.7472,524.79,524.71,524.79,524.71,1717495440000,7,2024-06-04 06:04:00-04:00
